p-values	BAT	BAL	BAN	AMB	LOM	PAR	MAL	SIK	LAN	LUW	SAB
BAT	0.000	0.063	0.000	0.002	0.002	0.136	0.246	0.000	0.001	0.000	0.000
BAL	0.063	0.000	0.177	0.225	0.009	0.002	0.292	0.060	0.021	0.130	0.000
BAN	0.000	0.177	0.000	0.201	0.035	0.002	0.092	0.402	0.070	0.209	0.000
AMB	0.002	0.225	0.201	0.000	0.098	0.031	0.078	0.339	0.083	0.203	0.000
LOM	0.002	0.009	0.035	0.098	0.000	0.002	0.235	0.037	0.014	0.001	0.000
PAR	0.136	0.002	0.002	0.031	0.002	0.000	0.714	0.001	0.000	0.000	0.000
MAL	0.246	0.292	0.092	0.078	0.235	0.714	0.000	0.073	0.005	0.026	0.000
SIK	0.000	0.060	0.402	0.339	0.037	0.001	0.073	0.000	0.090	0.086	0.000
LAN	0.001	0.021	0.070	0.083	0.014	0.000	0.005	0.090	0.000	0.317	0.000
LUW	0.000	0.130	0.209	0.203	0.001	0.000	0.026	0.086	0.317	0.000	0.000
SAB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
